Arrondissement,Mediane du niveau de vie 2018,Emplois Salaries 2017,Nombre de chômeurs de 15 à 64 ans 2017,Personnes actives de 15 à 64 ans 2017,Taux de pauvrete 2018,Population 2017,"Commerces, transports et services divers 2018"
19,20900.0,78065.9,16087.3,97874.1,23.3,187015.0,4700.0
1,34350.0,55232.7,992.2,9024.7,10.9,16266.0,5704.0
11,28530.0,63826.4,10185.9,88206.9,14.4,146643.0,8564.0
14,28340.0,70723.8,8064.7,70253.8,12.8,135964.0,5546.0
8,43520.0,155268.7,1720.8,19329.0,9.0,36808.0,18106.0
16,40400.0,96535.4,7738.6,77154.1,10.8,166361.0,12356.0
3,33060.0,25457.8,2157.9,20890.3,12.7,34115.0,4171.0
15,31760.0,158787.1,12073.0,123992.0,11.5,233392.0,9950.0
2,32700.0,55557.2,1394.1,13869.9,13.6,20900.0,6064.0
5,34250.0,46459.4,2794.4,29016.5,10.7,58850.0,4029.0
10,27420.0,71481.5,6831.7,53975.6,16.9,90372.0,7629.0
17,31940.0,88978.7,10558.6,93352.6,13.9,167288.0,11510.0
18,23160.0,72464.9,14469.0,113852.8,21.2,195233.0,6970.0
7,44490.0,61488.9,2385.9,25100.9,7.9,51367.0,5918.0
12,28780.0,107881.9,8216.2,77365.1,13.1,140296.0,6301.0
9,35390.0,104987.1,3492.9,35896.3,11.2,59555.0,10135.0
4,31930.0,35911.3,1694.2,15894.3,12.3,28088.0,3247.0
6,40730.0,38556.8,1871.6,18816.0,9.2,41100.0,5392.0
13,24720.0,113638.6,12305.5,95114.7,16.0,182099.0,5229.0
20,22100.0,61637.9,15687.9,106959.7,20.9,195814.0,4984.0
